city,name,price,url
Hyderabad,Hidden Boutique Homestay,1800,https://example.com/stay/hyderabad1
Hyderabad,Backpackers Hub Hostel,600,https://example.com/stay/hyderabad2
Bangalore,Cozy Corner PG,2000,https://example.com/stay/bangalore1
Bangalore,Techie Backpackers Hostel,700,https://example.com/stay/bangalore2
Delhi,Capital Comfort Inn,2200,https://example.com/stay/delhi1
Delhi,Paharganj Budget Hostel,500,https://example.com/stay/delhi2
Mumbai,Sea Breeze Apartment,2500,https://example.com/stay/mumbai1
Mumbai,Colaba Backpackers,800,https://example.com/stay/mumbai2
Chennai,Marina View Homestay,1700,https://example.com/stay/chennai1
Chennai,Student Hostel Nungambakkam,550,https://example.com/stay/chennai2
Kolkata,Heritage Inn,1600,https://example.com/stay/kolkata1
Kolkata,Howrah Backpackers Stay,450,https://example.com/stay/kolkata2
